TrainNumber	MoveDate	MoveTime	Register	Price	Ticket Sold
316	1398/02/13	16:25:00	1398/02/11 21:29:21	366000	
316	1398/02/13	16:25:00	1398/02/12 10:21:11	677000	
316	1398/02/13	16:25:00	1398/02/12 12:1:42	677000	
316	1398/02/13	16:25:00	1398/02/12 13:17:36	677000	
316	1398/02/13	16:25:00	1398/02/12 14:0:29	677000	
316	1398/02/13	16:25:00	1398/02/12 14:0:30	677000	
316	1398/02/13	16:25:00	1398/02/12 18:49:14	677000	
316	1398/02/13	16:25:00	1398/02/13 10:6:45	632000	
316	1398/02/13	16:25:00	1398/02/13 10:6:45	341500	
316	1398/02/13	16:25:00	1398/02/13 11:25:29	632000	
316	1398/02/13	16:25:00	1398/02/13 11:25:29	632000	
316	1398/02/13	16:25:00	1398/02/13 11:25:29	632000	
316	1398/02/13	16:25:00	1398/02/13 11:25:30	632000	
316	1398/02/13	16:25:00	1398/02/13 11:42:47	632000	
316	1398/02/13	16:25:00	1398/02/13 12:16:24	632000	
316	1398/02/13	16:25:00	1398/02/13 12:35:55	632000	
316	1398/02/13	16:25:00	1398/02/13 12:35:55	632000	
316	1398/02/13	16:25:00	1398/02/13 13:20:28	632000	
316	1398/02/13	16:25:00	1398/02/13 13:20:28	632000	
316	1398/02/13	16:25:00	1398/02/13 13:20:28	632000	
316	1398/02/13	16:25:00	1398/02/13 13:44:48	632000	
316	1398/02/13	16:25:00	1398/02/13 13:44:48	632000	
316	1398/02/13	16:25:00	1398/02/13 13:49:53	632000	
316	1398/02/13	16:25:00	1398/02/13 13:50:35	341500	
316	1398/02/13	16:25:00	1398/02/13 13:57:21	632000	
316	1398/02/13	16:25:00	1398/02/13 13:57:21	341500	
316	1398/02/13	16:25:00	1398/02/13 14:20:6	632000	
316	1398/02/13	16:25:00	1398/02/13 14:20:6	632000	
316	1398/02/13	16:25:00	1398/02/13 15:28:10	632000	
316	1398/02/13	16:25:00	1398/02/13 15:28:10	632000	
316	1398/02/13	16:25:00	1398/02/13 15:28:10	341500	
316	1398/02/13	16:25:00	1398/02/13 15:28:10	341500	
316	1398/02/13	16:25:00	1398/02/13 15:30:34	632000	
316	1398/02/13	16:25:00	1398/02/13 15:30:51	632000	
316	1398/02/13	16:25:00	1398/02/13 15:32:46	632000	
316	1398/02/13	16:25:00	1398/02/13 15:32:47	632000	
316	1398/02/13	16:25:00	1398/02/13 15:38:23	632000	
316	1398/02/13	16:25:00	1398/02/13 15:38:50	632000	
316	1398/02/13	16:25:00	1398/02/13 15:45:40	632000	
316	1398/02/13	16:25:00	1398/02/13 15:45:40	632000	
316	1398/02/13	16:25:00	1398/02/13 15:56:7	632000	
316	1398/02/13	16:25:00	1398/02/13 16:6:9	632000	
316	1398/02/13	16:25:00	1398/02/13 16:6:9	632000	
316	1398/02/13	16:25:00	1398/02/13 16:6:9	632000	
316	1398/02/13	16:25:00	1398/02/13 7:13:28	677000	
316	1398/02/13	16:25:00	1398/02/13 7:13:28	677000	
316	1398/02/13	16:25:00	1398/02/13 8:36:40	677000	
316	1398/02/13	16:25:00	1398/02/13 9:29:47	632000	
316	1398/02/13	16:25:00	1398/02/13 9:29:47	632000	
316	1398/02/13	16:25:00	1398/02/13 9:29:47	632000	
316	1398/02/13	16:25:00	1398/02/13 9:33:40	632000	
316	1398/02/13	16:25:00	1398/02/13 9:33:40	632000	
316	1398/02/13	16:25:00	1398/02/13 9:33:41	632000	
316	1398/02/13	16:25:00	1398/02/13 9:33:41	632000	
