TrainNumber	MoveDate	WagonTypeName	MoveTime	SaleCenterName	Register	TariffName	Price	Ticket,Sold
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,دو	1398/02/11,14:37:21	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	pajohan,sepand	1398/02/11,16:49:50	طفل	68000	
316	1398/02/13	4,ستاره,سروش	16:25:00	pajohan,sepand	1398/02/11,16:49:50	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	سمنان,سفر,ميلاد	1398/02/11,17:56:45	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	سمنان,سفر,ميلاد	1398/02/11,17:56:45	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/11,21:16:25	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/11,21:16:25	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ماهديس,گشت,خاوران	1398/02/11,21:29:21	جانباز	366000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/12,10:21:11	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	كيان,سفر,بال	1398/02/12,12:1:42	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/12,13:17:36	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/12,14:0:29	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/12,14:0:30	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/12,18:49:14	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	راه,پرواز,يازده	1398/02/13,10:6:45	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	راه,پرواز,يازده	1398/02/13,10:6:45	خردسال	341500	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,11:25:29	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,11:25:29	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,11:25:29	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,11:25:30	كسر,كوپه	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/13,11:42:47	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/13,12:16:24	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,شش	1398/02/13,12:35:55	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,شش	1398/02/13,12:35:55	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,پنج	1398/02/13,13:20:28	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,پنج	1398/02/13,13:20:28	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,پنج	1398/02/13,13:20:28	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,پنج	1398/02/13,13:44:48	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,پنج	1398/02/13,13:44:48	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/13,13:49:53	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	راه,پرواز,سه	1398/02/13,13:50:35	شاهد	341500	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,13:57:21	تمام	632000	
