TrainNumber;MoveDate;WagonTypeName;MoveTime;SaleCenterName;Register;TariffName;Price;Ticket Sold
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/11 1:11:44; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/11 1:11:44; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;”‰ê”—;1398/02/11 10:51:50; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/11 11:43:26; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/11 13:6:29; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/11 14:20:28; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/11 14:33:24; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/11 14:33:24; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ œÊ;1398/02/11 14:37:21; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ œÊ;1398/02/11 14:37:21; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;pajohan sepand;1398/02/11 16:49:50;ÿ›·;68000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;pajohan sepand;1398/02/11 16:49:50; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;”„‰«‰ ”›— „Ì·«œ;1398/02/11 17:56:45; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;”„‰«‰ ”›— „Ì·«œ;1398/02/11 17:56:45; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/11 21:16:25; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/11 21:16:25; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;„«ÂœÌ” ê‘  Œ«Ê—«‰;1398/02/11 21:29:21;Ã«‰»«“;366000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/12 10:21:11; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ﬂÌ«‰ ”›— »«·;1398/02/12 12:1:42; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/12 13:17:36; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/12 14:0:29; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/12 14:0:30; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/12 18:49:14; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—«Â Å—Ê«“ Ì«“œÂ;1398/02/13 10:6:45; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—«Â Å—Ê«“ Ì«“œÂ;1398/02/13 10:6:45;Œ—œ”«·;341500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 11:25:29; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 11:25:29; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 11:25:29; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 11:25:30;ﬂ”— ﬂÊÅÂ;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/13 11:42:47; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/13 12:16:24; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ ‘‘;1398/02/13 12:35:55; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ ‘‘;1398/02/13 12:35:55; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Å‰Ã;1398/02/13 13:20:28; „«„;632000;
